+-----------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+-----------------+
| Name                                          | Description                                                                                                                                               | Downloads (total=3505206980) | MaxVersion      |
| google-dfareporting3d2-cli                    | A complete library to interact with dfareporting (protocol v3.2)                                                                                          | 13728                        | 7.0.0+20190531  |
| google-dfareporting3d3                        | A complete library to interact with Dfareporting (protocol v3.3)                                                                                          | 24515                        | 7.0.0+20220104  |
| google-dfareporting3d3-cli                    | A complete library to interact with Dfareporting (protocol v3.3)                                                                                          | 13735                        | 7.0.0+20220104  |
| google-dfareporting3d4                        | A complete library to interact with Dfareporting (protocol v3.4)                                                                                          | 18941                        | 7.0.0+20230118  |
| google-dfareporting3d4-cli                    | A complete library to interact with Dfareporting (protocol v3.4)                                                                                          | 8303                         | 7.0.0+20230118  |
| google-dfareporting3d5                        | A complete library to interact with Dfareporting (protocol v3.5)                                                                                          | 12486                        | 7.0.0+20251023  |
| google-dfareporting3d5-cli                    | A complete library to interact with Dfareporting (protocol v3.5)                                                                                          | 3196                         | 7.0.0+20251023  |
| google-dialogflow2                            | A complete library to interact with Dialogflow (protocol v2)                                                                                              | 27257                        | 6.0.0+20240614  |
| google-dialogflow2-cli                        | A complete library to interact with Dialogflow (protocol v2)                                                                                              | 17271                        | 6.0.0+20240614  |
| google-dialogflow2_beta1                      | A complete library to interact with Dialogflow (protocol v2beta1)                                                                                         | 48678                        | 6.0.0+20240614  |
| google-dialogflow2_beta1-cli                  | A complete library to interact with Dialogflow (protocol v2beta1)                                                                                         | 20258                        | 6.0.0+20240614  |
| google-dialogflow3                            | A complete library to interact with Dialogflow (protocol v3)                                                                                              | 17652                        | 6.0.0+20240614  |
| google-dialogflow3-cli                        | A complete library to interact with Dialogflow (protocol v3)                                                                                              | 9123                         | 6.0.0+20240614  |
| google-digitalassetlinks1                     | A complete library to interact with digitalassetlinks (protocol v1)                                                                                       | 27268                        | 7.0.0+20251206  |
| google-digitalassetlinks1-cli                 | A complete library to interact with digitalassetlinks (protocol v1)                                                                                       | 17471                        | 7.0.0+20251206  |
| google-discovery1                             | A complete library to interact with discovery (protocol v1)                                                                                               | 60211                        | 7.0.0+20200806  |
| google-discovery1-cli                         | A complete library to interact with discovery (protocol v1)                                                                                               | 33020                        | 7.0.0+20200806  |
| google-displayvideo1                          | A complete library to interact with Display Video (protocol v1)                                                                                           | 18754                        | 7.0.0+20251204  |
| google-displayvideo1-cli                      | A complete library to interact with Display Video (protocol v1)                                                                                           | 6931                         | 7.0.0+20251204  |
| google-dlp2                                   | A complete library to interact with DLP (protocol v2)                                                                                                     | 27133                        | 7.0.0+20251213  |
| google-dlp2-cli                               | A complete library to interact with DLP (protocol v2)                                                                                                     | 17247                        | 7.0.0+20251213  |
| google-dlp2_beta1                             | A complete library to interact with DLP (protocol v2beta1)                                                                                                | 30374                        | 7.0.0+20171205  |
| google-dlp2_beta1-cli                         | A complete library to interact with DLP (protocol v2beta1)                                                                                                | 20450                        | 7.0.0+20171205  |
| google-dns1                                   | A complete library to interact with Dns (protocol v1)                                                                                                     | 129849                       | 7.0.0+20251211  |
| google-dns1-cli                               | A complete library to interact with Dns (protocol v1)                                                                                                     | 36580                        | 7.0.0+20251211  |
| google-dns1_beta1                             | A complete library to interact with dns (protocol v1beta1)                                                                                                | 13754                        | 0.1.5+20150114  |
| google-dns2                                   | A complete library to interact with Dns (protocol v2)                                                                                                     | 15468                        | 7.0.0+20251211  |
| google-dns2-cli                               | A complete library to interact with Dns (protocol v2)                                                                                                     | 5437                         | 7.0.0+20251211  |
| google-docs1                                  | A complete library to interact with Docs (protocol v1)                                                                                                    | 66884                        | 7.0.0+20251215  |
| google-docs1-cli                              | A complete library to interact with Docs (protocol v1)                                                                                                    | 13466                        | 7.0.0+20251215  |
| google-documentai1                            | A complete library to interact with Document (protocol v1)                                                                                                | 17935                        | 7.0.0+20251213  |
| google-documentai1-cli                        | A complete library to interact with Document (protocol v1)                                                                                                | 9005                         | 7.0.0+20251213  |
| google-documentai1_beta2                      | A complete library to interact with Document (protocol v1beta2)                                                                                           | 19058                        | 7.0.0+20240619  |
| google-documentai1_beta2-cli                  | A complete library to interact with Document (protocol v1beta2)                                                                                           | 10404                        | 7.0.0+20240619  |
| google-domains1                               | A complete library to interact with Cloud Domains (protocol v1)                                                                                           | 12366                        | 7.0.0+20250918  |
| google-domains1-cli                           | A complete library to interact with Cloud Domains (protocol v1)                                                                                           | 5329                         | 7.0.0+20250918  |
| google-domains1_beta1                         | A complete library to interact with Cloud Domains (protocol v1beta1)                                                                                      | 17465                        | 7.0.0+20250918  |
| google-domains1_beta1-cli                     | A complete library to interact with Cloud Domains (protocol v1beta1)                                                                                      | 9072                         | 7.0.0+20250918  |
| google-domainsrdap1                           | A complete library to interact with Domains RDAP (protocol v1)                                                                                            | 18933                        | 7.0.0+20240626  |
| google-domainsrdap1-cli                       | A complete library to interact with Domains RDAP (protocol v1)                                                                                            | 10491                        | 7.0.0+20240626  |
| google-doubleclickbidmanager1                 | A complete library to interact with DoubleClick Bid Manager (protocol v1)                                                                                 | 71360                        | 7.0.0+20210323  |
| google-doubleclickbidmanager1-cli             | A complete library to interact with DoubleClick Bid Manager (protocol v1)                                                                                 | 31157                        | 7.0.0+20210323  |
| google-doubleclickbidmanager1d1               | A complete library to interact with DoubleClick Bid Manager (protocol v1.1)                                                                               | 18912                        | 7.0.0+20230117  |
| google-doubleclickbidmanager1d1-cli           | A complete library to interact with DoubleClick Bid Manager (protocol v1.1)                                                                               | 8402                         | 7.0.0+20230117  |
| google-doubleclicksearch2                     | A complete library to interact with Doubleclicksearch (protocol v2)                                                                                       | 78022                        | 7.0.0+20251210  |
| google-doubleclicksearch2-cli                 | A complete library to interact with Doubleclicksearch (protocol v2)                                                                                       | 34524                        | 7.0.0+20251210  |
| google-drive2                                 | A complete library to interact with drive (protocol v2)                                                                                                   | 76505                        | 7.0.0+20251218  |
| google-drive2-cli                             | A complete library to interact with drive (protocol v2)                                                                                                   | 33663                        | 7.0.0+20251218  |
| google-drive3                                 | A complete library to interact with drive (protocol v3)                                                                                                   | 2841330                      | 7.0.0+20251218  |
| google-drive3-cli                             | A complete library to interact with drive (protocol v3)                                                                                                   | 43524                        | 7.0.0+20251218  |
| google-driveactivity2                         | A complete library to interact with Drive Activity (protocol v2)                                                                                          | 24710                        | 7.0.0+20251216  |
| google-driveactivity2-cli                     | A complete library to interact with Drive Activity (protocol v2)                                                                                          | 15914                        | 7.0.0+20251216  |
| google-essentialcontacts1                     | A complete library to interact with Essentialcontacts (protocol v1)                                                                                       | 12586                        | 7.0.0+20251211  |
| google-essentialcontacts1-cli                 | A complete library to interact with Essentialcontacts (protocol v1)                                                                                       | 5392                         | 7.0.0+20251211  |
| google-eventarc1                              | A complete library to interact with Eventarc (protocol v1)                                                                                                | 17486                        | 7.0.0+20251219  |
| google-eventarc1-cli                          | A complete library to interact with Eventarc (protocol v1)                                                                                                | 9163                         | 7.0.0+20251219  |
| google-factchecktools1_alpha1                 | A complete library to interact with Fact Check Tools (protocol v1alpha1)                                                                                  | 24345                        | 7.0.0+20251221  |
| google-factchecktools1_alpha1-cli             | A complete library to interact with Fact Check Tools (protocol v1alpha1)                                                                                  | 15929                        | 7.0.0+20251221  |
| google-fcm1                                   | A complete library to interact with Firebase Cloud Messaging (protocol v1)                                                                                | 224947                       | 7.0.0+20251212  |
| google-fcm1-cli                               | A complete library to interact with Firebase Cloud Messaging (protocol v1)                                                                                | 15909                        | 7.0.0+20251212  |
| google-fcmdata1_beta1                         | A complete library to interact with Fcmdata (protocol v1beta1)                                                                                            | 12312                        | 7.0.0+20251214  |
| google-fcmdata1_beta1-cli                     | A complete library to interact with Fcmdata (protocol v1beta1)                                                                                            | 5395                         | 7.0.0+20251214  |
| google-file1                                  | A complete library to interact with Cloud Filestore (protocol v1)                                                                                         | 24605                        | 7.0.0+20251204  |
| google-file1-cli                              | A complete library to interact with Cloud Filestore (protocol v1)                                                                                         | 15863                        | 7.0.0+20251204  |
| google-file1_beta1                            | A complete library to interact with Cloud Filestore (protocol v1beta1)                                                                                    | 27789                        | 7.0.0+20251204  |
| google-file1_beta1-cli                        | A complete library to interact with Cloud Filestore (protocol v1beta1)                                                                                    | 17477                        | 7.0.0+20251204  |
| google-firebase1_beta1                        | A complete library to interact with Firebase Management (protocol v1beta1)                                                                                | 24509                        | 7.0.0+20251217  |
| google-firebase1_beta1-cli                    | A complete library to interact with Firebase Management (protocol v1beta1)                                                                                | 15782                        | 6.0.0+20240624  |
| google-firebaseappcheck1_beta                 | A complete library to interact with Firebaseappcheck (protocol v1beta)                                                                                    | 12463                        | 7.0.0+20251213  |
| google-firebaseappcheck1_beta-cli             | A complete library to interact with Firebaseappcheck (protocol v1beta)                                                                                    | 5361                         | 7.0.0+20251213  |
| google-firebasedatabase1_beta                 | A complete library to interact with Firebase Realtime Database (protocol v1beta)                                                                          | 17624                        | 7.0.0+20251223  |
| google-firebasedatabase1_beta-cli             | A complete library to interact with Firebase Realtime Database (protocol v1beta)                                                                          | 9311                         | 7.0.0+20251223  |
| google-firebasedynamiclinks1                  | A complete library to interact with Firebase Dynamic Links (protocol v1)                                                                                  | 45148                        | 7.0.0+20251215  |
| google-firebasedynamiclinks1-cli              | A complete library to interact with Firebase Dynamic Links (protocol v1)                                                                                  | 31400                        | 7.0.0+20251215  |
| google-firebasehosting1                       | A complete library to interact with Firebase Hosting (protocol v1)                                                                                        | 19005                        | 7.0.0+20251214  |
| google-firebasehosting1-cli                   | A complete library to interact with Firebase Hosting (protocol v1)                                                                                        | 10354                        | 7.0.0+20251214  |
| google-firebasehosting1_beta1                 | A complete library to interact with Firebase Hosting (protocol v1beta1)                                                                                   | 27143                        | 7.0.0+20251214  |
| google-firebasehosting1_beta1-cli             | A complete library to interact with Firebase Hosting (protocol v1beta1)                                                                                   | 17164                        | 7.0.0+20251214  |
| google-firebaseml1                            | A complete library to interact with Firebase ML (protocol v1)                                                                                             | 18835                        | 7.0.0+20251217  |
| google-firebaseml1-cli                        | A complete library to interact with Firebase ML (protocol v1)                                                                                             | 10282                        | 7.0.0+20251217  |
| google-firebaseremoteconfig1                  | A complete library to interact with Firebase Remote Config (protocol v1)                                                                                  | 30605                        | 7.0.0+20171129  |
| google-firebaseremoteconfig1-cli              | A complete library to interact with Firebase Remote Config (protocol v1)                                                                                  | 20567                        | 7.0.0+20171129  |
| google-firebasestorage1_beta                  | A complete library to interact with Firebasestorage (protocol v1beta)                                                                                     | 17304                        | 7.0.0+20251212  |
| google-firebasestorage1_beta-cli              | A complete library to interact with Firebasestorage (protocol v1beta)                                                                                     | 9032                         | 7.0.0+20251212  |
| google-firestore1                             | A complete library to interact with Firestore (protocol v1)                                                                                               | 28103                        | 7.0.0+20251216  |
| google-firestore1-cli                         | A complete library to interact with Firestore (protocol v1)                                                                                               | 14155                        | 3.1.0+20220221  |
| google-firestore1_beta1                       | A complete library to interact with Firestore (protocol v1beta1)                                                                                          | 31116                        | 7.0.0+20251216  |
| google-firestore1_beta1-cli                   | A complete library to interact with Firestore (protocol v1beta1)                                                                                          | 17851                        | 3.1.0+20220221  |
| google-fitness1                               | A complete library to interact with fitness (protocol v1)                                                                                                 | 74042                        | 7.0.0+20251222  |
| google-fitness1-cli                           | A complete library to interact with fitness (protocol v1)                                                                                                 | 33651                        | 7.0.0+20251222  |
| google-freebase1                              | A complete library to interact with freebase (protocol v1)                                                                                                | 28906                        | 0.1.14+20150728 |
| google-freebase1_sandbox                      | A complete library to interact with freebase (protocol v1sandbox)                                                                                         | 17251                        | 0.1.11+20150715 |
| google-fusiontables2                          | A complete library to interact with fusiontables (protocol v2)                                                                                            | 70447                        | 7.0.0+20171117  |
| google-fusiontables2-cli                      | A complete library to interact with fusiontables (protocol v2)                                                                                            | 33075                        | 7.0.0+20171117  |
| google-games1                                 | A complete library to interact with Games (protocol v1)                                                                                                   | 77273                        | 7.0.0+20251216  |
| google-games1-cli                             | A complete library to interact with Games (protocol v1)                                                                                                   | 34089                        | 7.0.0+20251216  |
| google-gamesconfiguration1_configuration      | A complete library to interact with Games Configuration (protocol v1configuration)                                                                        | 76222                        | 7.0.0+20251216  |
| google-gamesconfiguration1_configuration-cli  | A complete library to interact with Games Configuration (protocol v1configuration)                                                                        | 33665                        | 7.0.0+20251216  |
| google-gameservices1                          | A complete library to interact with Game Services (protocol v1)                                                                                           | 18672                        | 7.0.0+20230105  |
| google-gameservices1-cli                      | A complete library to interact with Game Services (protocol v1)                                                                                           | 10343                        | 7.0.0+20230105  |
| google-gamesmanagement1_management            | A complete library to interact with Games Management (protocol v1management)                                                                              | 76038                        | 7.0.0+20251216  |
| google-gamesmanagement1_management-cli        | A complete library to interact with Games Management (protocol v1management)                                                                              | 37327                        | 7.0.0+20251216  |
| google-gan1_beta1                             | A complete library to interact with gan (protocol v1beta1)                                                                                                | 61559                        | 7.0.0+20130205  |
| google-gan1_beta1-cli                         | A complete library to interact with gan (protocol v1beta1)                                                                                                | 29326                        | 7.0.0+20130205  |
| google-genomics1                              | A complete library to interact with genomics (protocol v1)                                                                                                | 61125                        | 7.0.0+20210324  |
| google-genomics1-cli                          | A complete library to interact with genomics (protocol v1)                                                                                                | 36206                        | 7.0.0+20210324  |
| google-genomics1_beta2                        | A complete library to interact with genomics (protocol v1beta2)                                                                                           | 19153                        | 0.1.8+20150326  |
| google-gkehub1                                | A complete library to interact with GKE Hub (protocol v1)                                                                                                 | 14156                        | 5.0.3+20230106  |
| google-gkehub1-cli                            | A complete library to interact with GKE Hub (protocol v1)                                                                                                 | 6871                         | 3.1.0+20220211  |
| google-gmail1                                 | A complete library to interact with Gmail (protocol v1)                                                                                                   | 197022                       | 7.0.0+20251215  |
| google-gmail1-cli                             | A complete library to interact with Gmail (protocol v1)                                                                                                   | 25511                        | 7.0.0+20251215  |
| google-gmailpostmastertools1                  | A complete library to interact with Postmaster Tools (protocol v1)                                                                                        | 17124                        | 7.0.0+20251219  |
| google-gmailpostmastertools1-cli              | A complete library to interact with Postmaster Tools (protocol v1)                                                                                        | 8991                         | 7.0.0+20251219  |
| google-gmailpostmastertools1_beta1            | A complete library to interact with Postmaster Tools (protocol v1beta1)                                                                                   | 18668                        | 7.0.0+20251219  |
| google-gmailpostmastertools1_beta1-cli        | A complete library to interact with Postmaster Tools (protocol v1beta1)                                                                                   | 10322                        | 7.0.0+20251219  |
| google-groupsmigration1                       | A complete library to interact with Groups Migration (protocol v1)                                                                                        | 71811                        | 7.0.0+20251215  |
| google-groupsmigration1-cli                   | A complete library to interact with Groups Migration (protocol v1)                                                                                        | 32448                        | 7.0.0+20251215  |
| google-groupssettings1                        | A complete library to interact with groupssettings (protocol v1)                                                                                          | 71025                        | 7.0.0+20220614  |
| google-groupssettings1-cli                    | A complete library to interact with groupssettings (protocol v1)                                                                                          | 32858                        | 7.0.0+20220614  |
| google-healthcare1                            | A complete library to interact with Cloud Healthcare (protocol v1)                                                                                        | 19100                        | 7.0.0+20251211  |
| google-healthcare1-cli                        | A complete library to interact with Cloud Healthcare (protocol v1)                                                                                        | 10233                        | 7.0.0+20251211  |
| google-healthcare1_beta1                      | A complete library to interact with Cloud Healthcare (protocol v1beta1)                                                                                   | 24328                        | 7.0.0+20251211  |
| google-healthcare1_beta1-cli                  | A complete library to interact with Cloud Healthcare (protocol v1beta1)                                                                                   | 15868                        | 7.0.0+20251211  |
| google-homegraph1                             | A complete library to interact with Home Graph Service (protocol v1)                                                                                      | 3050                         | 7.0.0+20240621  |
| google-homegraph1-cli                         | A complete library to interact with Home Graph Service (protocol v1)                                                                                      | 1670                         | 7.0.0+20251218  |
| google-iam1                                   | A complete library to interact with Iam (protocol v1)                                                                                                     | 56008                        | 7.0.0+20251204  |
| google-iam1-cli                               | A complete library to interact with Iam (protocol v1)                                                                                                     | 29399                        | 3.1.0+20220224  |
| google-iamcredentials1                        | A complete library to interact with IAM Credentials (protocol v1)                                                                                         | 110406                       | 7.0.0+20251108  |
| google-iamcredentials1-cli                    | A complete library to interact with IAM Credentials (protocol v1)                                                                                         | 17362                        | 7.0.0+20251108  |
| google-iap1                                   | A complete library to interact with Cloud IAP (protocol v1)                                                                                               | 24551                        | 7.0.0+20251208  |
| google-iap1-cli                               | A complete library to interact with Cloud IAP (protocol v1)                                                                                               | 15764                        | 7.0.0+20251208  |
| google-iap1_beta1                             | A complete library to interact with Cloud IAP (protocol v1beta1)                                                                                          | 27307                        | 7.0.0+20251208  |
| google-iap1_beta1-cli                         | A complete library to interact with Cloud IAP (protocol v1beta1)                                                                                          | 15725                        | 7.0.0+20251208  |
| google-ideahub1_beta                          | A complete library to interact with Ideahub (protocol v1beta)                                                                                             | 12336                        | 7.0.0+20220305  |
| google-ideahub1_beta-cli                      | A complete library to interact with Ideahub (protocol v1beta)                                                                                             | 5405                         | 7.0.0+20220305  |
| google-identitytoolkit3                       | A complete library to interact with Identity Toolkit (protocol v3)                                                                                        | 139539                       | 7.0.0+20180723  |
| google-identitytoolkit3-cli                   | A complete library to interact with Identity Toolkit (protocol v3)                                                                                        | 33192                        | 7.0.0+20180723  |
| google-ids1                                   | A complete library to interact with IDS (protocol v1)                                                                                                     | 12309                        | 7.0.0+20251201  |
| google-ids1-cli                               | A complete library to interact with IDS (protocol v1)                                                                                                     | 5313                         | 7.0.0+20251201  |
| google-indexing3                              | A complete library to interact with Indexing (protocol v3)                                                                                                | 27400                        | 7.0.0+20251208  |
| google-indexing3-cli                          | A complete library to interact with Indexing (protocol v3)                                                                                                | 17533                        | 7.0.0+20251208  |
| google-jobs3                                  | A complete library to interact with Cloud Talent Solution (protocol v3)                                                                                   | 27357                        | 7.0.0+20251014  |
| google-jobs3-cli                              | A complete library to interact with Cloud Talent Solution (protocol v3)                                                                                   | 17303                        | 7.0.0+20251014  |
| google-jobs4                                  | A complete library to interact with Cloud Talent Solution (protocol v4)                                                                                   | 17365                        | 7.0.0+20251014  |
| google-jobs4-cli                              | A complete library to interact with Cloud Talent Solution (protocol v4)                                                                                   | 9009                         | 7.0.0+20251014  |
| google-keep1                                  | A complete library to interact with Keep (protocol v1)                                                                                                    | 12411                        | 7.0.0+20251215  |
| google-keep1-cli                              | A complete library to interact with Keep (protocol v1)                                                                                                    | 5397                         | 7.0.0+20251215  |
| google-kgsearch1                              | A complete library to interact with kgsearch (protocol v1)                                                                                                | 17397                        | 1.0.4+20151215  |
| google-kgsearch1-cli                          | A complete library to interact with kgsearch (protocol v1)                                                                                                | 12455                        | 1.0.4+20170109  |
| google-language1                              | A complete library to interact with Cloud Natural Language (protocol v1)                                                                                  | 28773                        | 7.0.0+20251219  |
| google-language1-cli                          | A complete library to interact with Cloud Natural Language (protocol v1)                                                                                  | 18653                        | 7.0.0+20251219  |
| google-language1_beta1                        | A complete library to interact with Cloud Natural Language (protocol v1beta1)                                                                             | 27254                        | 7.0.0+20220218  |
| google-language1_beta1-cli                    | A complete library to interact with Cloud Natural Language (protocol v1beta1)                                                                             | 17788                        | 7.0.0+20220218  |
| google-libraryagent1                          | A complete library to interact with Libraryagent (protocol v1)                                                                                            | 24174                        | 7.0.0+20251222  |
| google-libraryagent1-cli                      | A complete library to interact with Libraryagent (protocol v1)                                                                                            | 15675                        | 7.0.0+20251222  |
| google-licensing1                             | A complete library to interact with licensing (protocol v1)                                                                                               | 66545                        | 7.0.0+20251215  |
| google-licensing1-cli                         | A complete library to interact with licensing (protocol v1)                                                                                               | 31760                        | 7.0.0+20251215  |
| google-lifesciences2_beta                     | A complete library to interact with Cloud Life Sciences (protocol v2beta)                                                                                 | 18948                        | 7.0.0+20240614  |
| google-lifesciences2_beta-cli                 | A complete library to interact with Cloud Life Sciences (protocol v2beta)                                                                                 | 10340                        | 7.0.0+20240614  |
| google-localservices1                         | A complete library to interact with Localservices (protocol v1)                                                                                           | 17380                        | 7.0.0+20251211  |
| google-localservices1-cli                     | A complete library to interact with Localservices (protocol v1)                                                                                           | 9011                         | 7.0.0+20251211  |
| google-logging1_beta3                         | A complete library to interact with logging (protocol v1beta3)                                                                                            | 19210                        | 0.1.11+20151007 |
| google-logging2                               | A complete library to interact with Logging (protocol v2)                                                                                                 | 83920                        | 7.0.0+20251202  |
| google-logging2-cli                           | A complete library to interact with Logging (protocol v2)                                                                                                 | 31201                        | 7.0.0+20251202  |
| google-logging2_beta1                         | A complete library to interact with Logging (protocol v2beta1)                                                                                            | 56392                        | 7.0.0+20190325  |
| google-logging2_beta1-cli                     | A complete library to interact with Logging (protocol v2beta1)                                                                                            | 33078                        | 7.0.0+20190325  |
| google-managedidentities1                     | A complete library to interact with Managed Service for Microsoft Active Directory Consumer API (protocol v1)                                             | 18736                        | 7.0.0+20250116  |
| google-managedidentities1-cli                 | A complete library to interact with Managed Service for Microsoft Active Directory Consumer API (protocol v1)                                             | 9086                         | 7.0.0+20250116  |
| google-manager1_beta2                         | A complete library to interact with manager (protocol v1beta2)                                                                                            | 66683                        | 7.0.0+20140915  |
| google-manager1_beta2-cli                     | A complete library to interact with manager (protocol v1beta2)                                                                                            | 31881                        | 7.0.0+20140915  |
| google-manufacturers1                         | A complete library to interact with Manufacturer Center (protocol v1)                                                                                     | 45314                        | 7.0.0+20251226  |
| google-manufacturers1-cli                     | A complete library to interact with Manufacturer Center (protocol v1)                                                                                     | 30014                        | 7.0.0+20251226  |
| google-mapsengine1                            | A complete library to interact with Maps Engine (protocol v1)                                                                                             | 22365                        | 0.1.11+20151202 |
| google-memcache1                              | A complete library to interact with Cloud Memorystore for Memcached (protocol v1)                                                                         | 17359                        | 7.0.0+20251005  |
| google-memcache1-cli                          | A complete library to interact with Cloud Memorystore for Memcached (protocol v1)                                                                         | 9043                         | 7.0.0+20251005  |
| google-memcache1_beta2                        | A complete library to interact with Cloud Memorystore for Memcached (protocol v1beta2)                                                                    | 18841                        | 7.0.0+20251005  |
| google-memcache1_beta2-cli                    | A complete library to interact with Cloud Memorystore for Memcached (protocol v1beta2)                                                                    | 10401                        | 7.0.0+20251005  |
