+-----------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+-----------------+
| Name                                          | Description                                                                                                                                               | Downloads (total=3505206980) | MaxVersion      |
| gix-glob                                      | A crate of the gitoxide project dealing with pattern matching                                                                                             | 51753306                     | 0.27.1          |
| gix-hash                                      | Borrowed and owned git hash digests used to identify git objects                                                                                          | 55181954                     | 0.26.2          |
| gix-hashtable                                 | A crate that provides hashtable based data structures optimized to utilize ObjectId keys                                                                  | 47734980                     | 0.16.0          |
| gix-ignore                                    | A crate of the gitoxide project dealing .gitignore files                                                                                                  | 41640911                     | 0.22.1          |
| gix-imara-diff                                | A high performance library for computing diffs, maintained as a modified copy of upstream imara-diff for gitoxide.                                        | 2392329                      | 0.2.5           |
| gix-index                                     | A work-in-progress crate of the gitoxide project dedicated implementing the git index file                                                                | 44578985                     | 0.55.0          |
| gix-lfs                                       | A crate of the gitoxide project dealing with handling git large file support                                                                              | 6349                         | 0.0.0           |
| gix-lock                                      | A git-style lock-file implementation                                                                                                                      | 51496471                     | 24.0.0          |
| gix-macros                                    | Proc-macro utilities for gix                                                                                                                              | 6850163                      | 0.1.6           |
| gix-mailmap                                   | A crate of the gitoxide project for parsing mailmap files                                                                                                 | 11862082                     | 0.34.1          |
| gix-merge                                     | A crate of the gitoxide project implementing merge algorithms                                                                                             | 2684006                      | 0.20.1          |
| gix-negotiate                                 | A crate of the gitoxide project implementing negotiation algorithms                                                                                       | 34311858                     | 0.35.1          |
| gix-note                                      | A crate of the gitoxide project dealing with git notes                                                                                                    | 50381                        | 0.1.1           |
| gix-object                                    | Immutable and mutable git objects with decoding and encoding support                                                                                      | 52547232                     | 0.64.1          |
| gix-odb                                       | Implements various git object databases                                                                                                                   | 44817871                     | 0.84.0          |
| gix-pack                                      | Implements git packs and related data structures                                                                                                          | 44900209                     | 0.74.2          |
| gix-packetline                                | A crate of the gitoxide project implementing the pkt-line serialization format                                                                            | 41291866                     | 0.22.2          |
| gix-packetline-blocking                       | A duplicate of `gix-packetline` with the `blocking-io` feature pre-selected                                                                               | 24603088                     | 0.19.3          |
| gix-path                                      | A crate of the gitoxide project dealing paths and their conversions                                                                                       | 50710809                     | 0.12.6          |
| gix-pathspec                                  | A crate of the gitoxide project dealing magical pathspecs                                                                                                 | 39873584                     | 0.20.0          |
| gix-prompt                                    | A crate of the gitoxide project for handling prompts in the terminal                                                                                      | 33539739                     | 0.17.0          |
| gix-protocol                                  | A crate of the gitoxide project for implementing git protocols                                                                                            | 41401881                     | 0.65.1          |
| gix-quote                                     | A crate of the gitoxide project dealing with various quotations used by git                                                                               | 44533725                     | 0.8.0           |
| gix-rebase                                    | A crate of the gitoxide project dealing rebases                                                                                                           | 6387                         | 0.0.0           |
| gix-ref                                       | A crate to handle git references                                                                                                                          | 51506637                     | 0.67.1          |
| gix-refspec                                   | A crate of the gitoxide project for parsing and representing refspecs                                                                                     | 45362410                     | 0.45.1          |
| gix-revision                                  | A crate of the gitoxide project dealing with finding names for revisions and parsing specifications                                                       | 45425655                     | 0.49.1          |
| gix-revwalk                                   | A crate providing utilities for walking the revision graph                                                                                                | 45213892                     | 0.35.0          |
| gix-sec                                       | A crate of the gitoxide project providing a shared trust model                                                                                            | 50074866                     | 0.14.2          |
| gix-sequencer                                 | A crate of the gitoxide project handling sequences of human-aided operations                                                                              | 6378                         | 0.0.0           |
| gix-shallow                                   | Handle files specifying the shallow boundary                                                                                                              | 33844414                     | 0.13.0          |
| gix-status                                    | A crate of the gitoxide project dealing with 'git status'-like functionality                                                                              | 18172142                     | 0.34.1          |
| gix-submodule                                 | A crate of the gitoxide project dealing git submodules                                                                                                    | 39985338                     | 0.34.0          |
| gix-tempfile                                  | A tempfile implementation with a global registry to assure cleanup                                                                                        | 52257926                     | 24.0.0          |
| gix-testtools                                 | Shared code for gitoxide crates to facilitate testing                                                                                                     | 360805                       | 0.20.0          |
| gix-tix                                       | A tool like `tig`, but minimal, fast and efficient                                                                                                        | 6913                         | 0.3.0           |
| gix-trace                                     | A crate to provide minimal `tracing` support that can be turned off to zero cost                                                                          | 47506755                     | 0.1.21          |
| gix-transport                                 | A crate of the gitoxide project dedicated to implementing the git transport layer                                                                         | 41477636                     | 0.59.2          |
| gix-traverse                                  | A crate of the gitoxide project                                                                                                                           | 45552512                     | 0.61.0          |
| gix-url                                       | A crate of the gitoxide project implementing parsing and serialization of gix-url                                                                         | 46746584                     | 0.38.0          |
